-0.180,-0.028,1.158
-0.141,-0.015,1.186
-0.094,0.008,1.172
-0.063,0.037,1.132
-0.068,0.010,1.034
-0.147,-0.063,1.006
-0.112,-0.248,1.030
0.069,-0.345,0.972
0.187,-0.417,1.052
0.112,-0.168,0.917
0.141,0.035,0.771
0.109,0.075,0.671
0.163,0.180,0.741
0.149,0.209,0.769
0.086,0.142,0.764
0.092,0.079,0.801
0.169,0.030,0.829
0.127,-0.017,1.341
0.122,-0.018,0.994
0.116,0.060,0.842
0.144,0.029,0.823
0.154,0.037,0.888
0.113,0.015,0.980
0.088,-0.106,0.945
0.087,-0.241,0.884
0.092,-0.240,0.937
0.077,-0.096,0.947
0.070,-0.017,0.981
0.055,-0.048,1.011
0.079,-0.081,0.961
0.092,-0.060,0.894
0.078,-0.074,0.845
0.032,-0.058,0.909
0.021,-0.046,0.936
0.014,-0.064,0.952
0.013,-0.021,0.947
-0.007,0.015,0.936
-0.045,-0.016,0.928
-0.064,-0.039,0.985
-0.072,-0.028,0.984
-0.105,-0.007,0.992
-0.135,0.005,0.970
-0.185,0.006,0.927
-0.202,-0.027,0.934
-0.238,-0.030,0.947
-0.295,0.021,1.000
-0.324,0.021,0.960
-0.342,0.017,0.896
-0.348,-0.009,0.849
-0.368,-0.002,0.871
-0.440,0.022,0.876
-0.508,0.037,0.869
-0.500,-0.015,0.867
-0.513,-0.061,0.890
-0.516,-0.059,0.818
-0.547,0.005,0.792
-0.572,0.009,0.778
-0.583,0.010,0.752
-0.601,0.016,0.742
-0.631,0.038,0.749
-0.647,0.032,0.714
-0.657,0.030,0.687
-0.667,0.044,0.695
-0.708,0.057,0.682
-0.700,0.075,0.637
-0.709,0.097,0.593
-0.763,0.099,0.613
-0.784,0.098,0.597
-0.806,0.107,0.587
-0.838,0.115,0.580
-0.854,0.109,0.571
-0.872,0.096,0.544
-0.877,0.062,0.526
-0.879,0.093,0.492
-0.881,0.067,0.466
-0.849,0.089,0.445
-0.875,0.077,0.460
-0.895,0.115,0.451
-0.907,0.126,0.453
-0.916,0.106,0.462
-0.919,0.081,0.459
-0.899,0.066,0.465
-0.908,0.056,0.483
-0.950,0.034,0.520
-0.948,0.030,0.532
-0.918,0.054,0.530
-0.910,0.091,0.572
-0.889,0.054,0.632
-0.851,0.049,0.688
-0.796,0.076,0.714
-0.734,0.100,0.752
-0.655,0.091,0.774
-0.642,0.100,0.825
-0.601,0.080,0.867
-0.560,0.084,0.860
-0.517,0.088,0.873
-0.426,0.115,0.877
-0.368,0.017,0.924
-0.226,0.053,0.887
-0.188,0.117,0.910
-0.102,-0.011,1.095
0.052,0.009,1.002
0.128,-0.023,0.909
0.217,-0.094,0.886
0.311,-0.055,0.820
0.432,-0.055,0.789
0.527,-0.007,0.728
0.586,-0.021,0.697
0.634,-0.019,0.630
0.695,-0.112,0.540
0.763,-0.172,0.507
0.817,-0.164,0.469
0.831,-0.203,0.486
0.824,-0.212,0.434
0.788,-0.210,0.380
0.750,-0.168,0.390
0.723,-0.153,0.471
0.680,-0.129,0.535
0.644,-0.156,0.558
0.604,-0.155,0.614
0.551,-0.137,0.719
0.498,-0.108,0.790
0.420,-0.096,0.809
0.347,-0.099,0.740
0.210,-0.079,0.820
0.127,-0.048,0.881
0.007,-0.004,0.902
-0.128,-0.010,0.861
-0.213,0.057,0.894
-0.316,0.007,0.928
-0.383,-0.007,0.958
-0.471,0.015,0.861
-0.562,0.021,0.764
-0.709,0.035,0.742
-0.829,0.079,0.795
-0.873,0.023,0.858
-0.840,-0.072,0.794
-0.734,0.051,0.528
-0.746,0.078,0.462
-0.896,-0.019,0.534
-0.976,-0.107,0.545
-1.035,-0.110,0.508
-0.996,-0.060,0.438
-1.042,-0.025,0.407
-1.087,0.053,0.378
-1.094,0.048,0.377
-1.084,0.006,0.428
-1.061,-0.028,0.438
-1.019,-0.013,0.482
-1.017,-0.016,0.549
-0.984,0.022,0.584
-0.934,0.059,0.650
-0.815,0.090,0.718
-0.736,0.068,0.740
-0.692,0.068,0.787
-0.590,0.044,0.858
-0.539,-0.032,0.896
-0.505,-0.020,0.901
-0.378,0.110,0.991
-0.163,0.188,0.969
-0.130,0.079,0.938
-0.201,-0.001,0.861
-0.117,0.015,0.711
0.172,-0.061,0.703
0.393,-0.136,0.760
0.491,-0.138,0.774
0.590,-0.067,0.683
0.703,-0.081,0.648
0.735,-0.243,0.509
0.695,-0.028,0.211
0.623,-0.191,0.296
0.812,-0.225,0.351
0.892,-0.145,0.288
0.824,-0.132,0.233
0.898,-0.060,0.207
1.083,-0.129,0.262
1.061,-0.155,0.235
0.989,-0.099,0.210
0.983,-0.076,0.197
1.043,-0.144,0.223
1.068,-0.233,0.163
1.014,-0.325,0.077
0.995,-0.340,0.035
0.879,-0.424,0.085
0.779,-0.286,0.289
0.596,-0.104,0.513
0.434,-0.071,0.540
0.353,-0.093,0.490
0.158,-0.061,0.651
-0.062,0.116,0.800
-0.240,0.162,1.016
-0.272,-0.026,1.002
-0.229,-0.080,0.819
-0.382,0.049,0.879
-0.583,-0.010,0.957
-0.525,0.026,0.748
-0.584,0.088,0.577
-0.771,0.131,0.569
-0.825,0.104,0.518
-1.203,0.040,0.872
